datetime [AKST],HO [molec cm^-3],HO2 [molec cm^-3],H2O2 [molec cm^-3],O3 [molec cm^-3],NO2 [molec cm^-3],NO [molec cm^-3],HONO [molec cm^-3],NO3 [molec cm^-3]
03-Feb-2022 07:10:00,3397.19848664363,12591.5084628052,26633499.3970707,15013901009.3344,1113870213680.44,1124073375461.71,40661739843.6783,2777.24958747755
03-Feb-2022 07:15:00,3354.09121855506,12392.6306220052,26776556.8673547,14815186091.9583,1114282142082.71,1129298309811.6,40474722107.7735,2730.3348884586
03-Feb-2022 07:20:00,3318.91947848728,12233.0217540129,26863758.2218253,14660121942.6706,1114583619821.52,1133271412557.64,40283498683.3349,2694.05670013776
03-Feb-2022 07:25:00,3308.35944050021,12175.5999064105,26933992.9803151,14636502405.3293,1114631381070.96,1134631220458.65,40068503258.1306,2687.2676443953
03-Feb-2022 07:30:00,3309.54885033353,12172.3238790875,27002978.5229058,14676009321.2292,1114521337939.63,1133945033402.6,39842270816.5074,2696.34948954513
03-Feb-2022 07:35:00,3318.6870535355,12206.9431633583,27073520.6316051,14757970810.015,1114301540846.9,1131780243436.84,39612852035.6731,2716.49996107904
03-Feb-2022 07:40:00,3334.92733517637,12273.9257902902,27144172.9816941,14877517580.3196,1113997747788.62,1128569393645.2,39385038860.0523,2745.77810535654
03-Feb-2022 07:45:00,3355.32849548759,12361.6492750409,27213409.9958329,15019541016.3302,1113639322521.83,1124592994242.41,39161390669.6992,2781.03912430843
03-Feb-2022 07:50:00,3552.22055748723,13229.4942283416,27254151.7870655,15504785673.2585,1111290519976.06,1106882059261.71,39304262866.8649,3005.69529703706
03-Feb-2022 07:55:00,4016.12788519185,15198.220546466,27299209.9650566,17365353356.0601,1106055613557.88,1066704214872,39318142432.4455,3585.40996755257
03-Feb-2022 08:00:00,4694.95432502174,18173.6938534156,27369257.3353267,20320152772.0113,1098563644462.06,1008503325363.31,39264947485.7497,4540.07420129452
03-Feb-2022 08:05:00,5382.68188266792,21225.1994735501,27526371.5726415,24252475870.5162,1090868950218.37,947798220129.981,38453837468.5182,5705.59000719157
03-Feb-2022 08:10:00,5963.82960628415,23955.6065649892,27758419.9171942,27746904634.2914,1084376653219.97,896286690610.165,37560018764.2014,6840.9307733717
03-Feb-2022 08:15:00,6495.53781886507,26534.0916114774,28036226.2266057,31074023082.2732,1078596026829.83,852952845968.228,36692125973.6709,7986.15132478984
03-Feb-2022 08:20:00,6965.39774237366,28867.2825976885,28329191.4544725,34141233569.2835,1073539514016.9,817423545437.723,35902358271.7304,9092.20346593971
03-Feb-2022 08:25:00,7357.05417217597,30852.0105947396,28607188.3064729,36831943781.7484,1069266405319.62,788983129546.023,35202987188.7768,10103.1339242403
03-Feb-2022 08:30:00,7685.16236634277,32535.3016314457,28857980.1489849,39214123493.9091,1065608344273.93,765868385894.628,34576674474.1496,11026.455339715
03-Feb-2022 08:35:00,8237.64958767214,34703.7522574031,29095121.503273,41701901228.5155,1061986218303.52,744845360916.583,33960554300.2415,12000.7647628028
03-Feb-2022 08:40:00,8817.8488588834,37035.2643766036,29341000.0930636,44478348870.5265,1058097797375.31,723746045221.993,33331224972.6403,13107.2031709139
03-Feb-2022 08:45:00,9396.36521427555,39399.5450040636,29583352.9201885,47374350405.1366,1054137046004.41,703207381771.986,32713739111.388,14294.8904814892
03-Feb-2022 08:50:00,10748.3685296777,43754.9388049625,29750021.9258912,50380568548.6822,1048568564740.76,684137787480.895,32295156969.8389,15603.1072144614
03-Feb-2022 08:55:00,12096.8367007417,48029.3708102004,29874879.8471785,53353985853.5739,1043292478503.5,668656289426.363,31994760623.6416,16888.7257293425
03-Feb-2022 09:00:00,13418.3487770107,52134.6958046183,29958589.6699125,56161515185.099,1038449535255.11,655515040451.083,31760230272.4974,18123.4566090284
03-Feb-2022 09:05:00,16734.9506949819,60828.4459823557,30093773.7889718,59631577462.976,1034935506241.18,648285798696.616,31428928270.5179,19400.9497307377
03-Feb-2022 09:10:00,20088.6030004145,69661.3757889702,30271982.1755817,63492390651.0388,1031185272222.03,643331055065.394,31064803492.4289,20752.3590423401
03-Feb-2022 09:15:00,23391.1360220138,78294.4380340611,30488403.3795842,67260598345.9575,1027576055714.57,639699118758.955,30696277468.0527,22044.6043428128
03-Feb-2022 09:20:00,29684.6014928142,94058.7335638995,30745636.8272257,72157120294.6915,1022891630575.49,638979014753.007,30340007612.2854,23608.2731558554
03-Feb-2022 09:25:00,36022.3838060418,109833.221302763,31074385.1737722,77669849730.4338,1017659774952.22,640788936816.622,30000616417.0832,25253.4540192152
03-Feb-2022 09:30:00,42270.4160156586,125131.171028754,31462188.6735356,83037977477.9969,1012619540320.73,643839428347.673,29677287769.6973,26783.7123363826
03-Feb-2022 09:35:00,50947.0736052208,146049.106020925,31909080.3347194,89337409159.2469,1006664305852.71,648360866666.24,29353281287.4088,28509.4637681921
03-Feb-2022 09:40:00,59624.8236745347,166794.673829526,32436116.9414677,96245822951.3785,1000101167878.71,653499776800.594,29022273967.6227,30335.8155800455
03-Feb-2022 09:45:00,68184.4006794325,186973.103168916,33023152.0317836,103085658980.026,993612354325.499,658684695235.938,28692525753.0052,32086.5667938008
03-Feb-2022 09:50:00,76605.2116255874,205566.395814859,33797049.8392831,110414799836.178,989503343072.574,671051747923.376,27976614427.9571,32846.3242081292
03-Feb-2022 09:55:00,84050.1629142962,220418.311020789,34744671.2037761,116077527868.421,987526391763.496,691255054806.275,27260615614.6437,32732.939951402
03-Feb-2022 10:00:00,90603.6118998615,232025.527151613,35825806.779918,120344367529.155,987238520059.06,717950174976.405,26569317006.1476,31975.4377242396
03-Feb-2022 10:05:00,99047.1805942303,247260.10867391,36829092.6613369,122930210412.676,986149721796.503,747404972701.817,26341164301.0154,31475.2486301023
03-Feb-2022 10:10:00,107814.424974975,262940.732028894,37753203.5769493,126273048263.021,984089928632.597,775227025374.801,26233909534.7868,31223.2884967211
03-Feb-2022 10:15:00,116666.848003178,278528.480258555,38619200.2238389,129862931540.593,981711524180.846,801226703798.035,26174213817.7851,31097.4870217244
03-Feb-2022 10:20:00,126781.667536591,296737.446873597,39453473.1586722,134081726309.509,978651952694.832,825619278172.524,26124940743.8704,31160.1758079195
03-Feb-2022 10:25:00,136918.493028808,314755.168843222,40278952.0082399,138819885921.566,975023164382.017,848219707245.56,26068910578.4929,31371.9799493731
03-Feb-2022 10:30:00,146995.934473808,332395.317068136,41096397.804211,143714568099.016,971202191105.741,869105782620.691,26004664421.7316,31651.7180499955
03-Feb-2022 10:35:00,156878.165930287,349338.96398775,41902465.9906915,148234138645.44,967807038227.425,889865204530.912,25961040255.3115,31847.817663458
03-Feb-2022 10:40:00,166649.554708292,365397.864125045,42701076.2546128,152324317523.523,964956001066.653,911881673779.798,25948974761.0914,31916.761774734
